REGION,GENDER,AGE_GROUP,ANNEE,NB_ETUDIANTS,POPULATION
Bourgogne-Franche-Comté,F,25-29 ans,2023,0,68509
Bourgogne-Franche-Comté,F,20-24 ans,2025,0,69717
Pays de la Loire,F,60 ans ou plus,2022,0,597045
Pays de la Loire,F,20-24 ans,2022,0,104598
Occitanie,M,60 ans ou plus,2025,0,857509
Bourgogne-Franche-Comté,F,40-44 ans,2025,0,84835
Bourgogne-Franche-Comté,F,50-54 ans,2025,0,93315
Bourgogne-Franche-Comté,F,55-59 ans,2025,0,94606
Bourgogne-Franche-Comté,F,60 ans ou plus,2025,0,485529
Bourgogne-Franche-Comté,M,40-44 ans,2025,0,84049
Bourgogne-Franche-Comté,M,50-54 ans,2024,0,93416
Bourgogne-Franche-Comté,F,45-49 ans,2024,0,81853
Bourgogne-Franche-Comté,M,60 ans ou plus,2024,0,392583
Pays de la Loire,F,60 ans ou plus,2024,0,613439
Bourgogne-Franche-Comté,F,35-39 ans,2023,0,81304
Bourgogne-Franche-Comté,F,40-44 ans,2023,0,84668
Pays de la Loire,F,45-49 ans,2024,0,119912
Bourgogne-Franche-Comté,F,50-54 ans,2023,0,94674
Bourgogne-Franche-Comté,F,55-59 ans,2023,0,95756
Bourgogne-Franche-Comté,F,60 ans ou plus,2023,0,477652
Bourgogne-Franche-Comté,M,20-24 ans,2023,0,78562
Pays de la Loire,F,35-39 ans,2023,0,118913
Pays de la Loire,F,20-24 ans,2024,0,107083
Bourgogne-Franche-Comté,M,55-59 ans,2024,0,93527
Bourgogne-Franche-Comté,F,50-54 ans,2024,0,94337
Auvergne-Rhône-Alpes,F,60 ans ou plus,2024,0,1231228
Provence-Alpes-Côte d'Azur,M,60 ans ou plus,2024,0,709964
Provence-Alpes-Côte d'Azur,M,20-24 ans,2024,0,139432
Provence-Alpes-Côte d'Azur,F,60 ans ou plus,2024,0,904351
Provence-Alpes-Côte d'Azur,F,20-24 ans,2024,0,132925
Provence-Alpes-Côte d'Azur,F,60 ans ou plus,2023,0,889463
Auvergne-Rhône-Alpes,M,55-59 ans,2024,0,262549
Provence-Alpes-Côte d'Azur,F,55-59 ans,2023,0,184659
Provence-Alpes-Côte d'Azur,F,45-49 ans,2023,0,161442
Centre-Val-de-Loire,F,25-29 ans,2022,0,62933
Centre-Val-de-Loire,F,55-59 ans,2022,0,87537
Pays de la Loire,M,40-44 ans,2023,0,123473
Bourgogne-Franche-Comté,F,55-59 ans,2024,0,95436
Bourgogne-Franche-Comté,F,60 ans ou plus,2024,0,481541
Pays de la Loire,F,30-34 ans,2023,0,111734
Pays de la Loire,F,20-24 ans,2023,0,106230
Pays de la Loire,M,60 ans ou plus,2022,0,477931
Pays de la Loire,M,40-44 ans,2022,0,121601
Pays de la Loire,M,20-24 ans,2022,0,112221
Bourgogne-Franche-Comté,M,45-49 ans,2024,0,80928
Bourgogne-Franche-Comté,M,60 ans ou plus,2022,0,384913
Provence-Alpes-Côte d'Azur,F,60 ans ou plus,2025,0,920335
DROM,F,25-29 ans,2024,0,129514
DROM,F,60 ans ou plus,2023,0,502472
DROM,M,20-24 ans,2023,0,121126
DROM,M,25-29 ans,2023,0,103246
DROM,M,30-34 ans,2023,0,114958
Normandie,F,25-29 ans,2022,0,85394
DROM,M,40-44 ans,2023,0,116566
DROM,M,45-49 ans,2023,0,121878
Normandie,F,20-24 ans,2022,0,88936
DROM,M,55-59 ans,2023,0,141828
DROM,M,60 ans ou plus,2023,0,418334
Normandie,M,55-59 ans,2022,0,107398
Centre-Val-de-Loire,F,55-59 ans,2023,0,87891
Hauts-de-France,M,60 ans ou plus,2025,0,689429
DROM,F,55-59 ans,2023,0,156480
Corse,F,30-34 ans,2025,0,10633
Corse,F,35-39 ans,2025,0,11694
Corse,F,40-44 ans,2025,0,12598
Corse,F,45-49 ans,2025,0,11706
Corse,F,50-54 ans,2025,0,12442
Corse,F,55-59 ans,2025,0,12280
Corse,F,60 ans ou plus,2025,0,62269
Corse,M,20-24 ans,2025,0,8377
DROM,F,50-54 ans,2023,0,153904
Normandie,M,50-54 ans,2022,0,107430
Pays de la Loire,M,20-24 ans,2023,0,114036
Bourgogne-Franche-Comté,M,50-54 ans,2023,0,93596
Pays de la Loire,F,60 ans ou plus,2023,0,604434
Bourgogne-Franche-Comté,M,60 ans ou plus,2023,0,388112
Bourgogne-Franche-Comté,F,20-24 ans,2024,0,69173
Bourgogne-Franche-Comté,F,25-29 ans,2024,0,68927
Bourgogne-Franche-Comté,F,30-34 ans,2024,0,74088
Bourgogne-Franche-Comté,F,35-39 ans,2024,0,82006
Pays de la Loire,F,35-39 ans,2024,0,120118
DROM,F,20-24 ans,2024,0,129212
Auvergne-Rhône-Alpes,F,50-54 ans,2024,0,274786
Auvergne-Rhône-Alpes,F,55-59 ans,2024,0,267544
Normandie,M,20-24 ans,2022,0,94648
DROM,M,55-59 ans,2022,0,140664
DROM,M,60 ans ou plus,2022,0,402648
DROM,F,20-24 ans,2023,0,130448
DROM,F,25-29 ans,2023,0,129694
DROM,F,30-34 ans,2023,0,148528
Normandie,F,60 ans ou plus,2022,0,545498
Normandie,F,40-44 ans,2022,0,100250
Normandie,F,30-34 ans,2022,0,95173
Normandie,M,60 ans ou plus,2022,0,429398
Occitanie,F,60 ans ou plus,2025,0,1049847
Bretagne,M,60 ans ou plus,2024,0,471265
Bretagne,F,20-24 ans,2025,0,89553
Bretagne,F,35-39 ans,2025,0,102090
Bretagne,F,50-54 ans,2025,0,116664
Bretagne,F,55-59 ans,2025,0,115175
Nouvelle-Aquitaine,F,60 ans ou plus,2025,0,1111750
Nouvelle-Aquitaine,F,45-49 ans,2025,0,187375
Bretagne,M,45-49 ans,2025,0,102495
Bretagne,F,25-29 ans,2025,0,86667
Bretagne,M,60 ans ou plus,2025,0,481196
Occitanie,F,60 ans ou plus,2023,0,1015889
Bretagne,M,20-24 ans,2023,0,97142
Nouvelle-Aquitaine,F,20-24 ans,2025,0,154879
Centre-Val-de-Loire,F,35-39 ans,2022,0,76920
Centre-Val-de-Loire,F,40-44 ans,2022,0,77852
Centre-Val-de-Loire,F,45-49 ans,2022,0,82218
Centre-Val-de-Loire,F,50-54 ans,2022,0,88106
Nouvelle-Aquitaine,F,25-29 ans,2025,0,153330
Occitanie,M,60 ans ou plus,2023,0,824784
Bretagne,M,35-39 ans,2023,0,98437
Occitanie,M,55-59 ans,2023,0,198147
Occitanie,M,50-54 ans,2023,0,199351
Centre-Val-de-Loire,F,20-24 ans,2022,0,63649
Bretagne,F,20-24 ans,2023,0,88884
Bretagne,M,55-59 ans,2022,0,111645
Occitanie,M,60 ans ou plus,2024,0,840808
Bretagne,F,25-29 ans,2023,0,84382
Occitanie,F,60 ans ou plus,2024,0,1032706
Occitanie,F,55-59 ans,2024,0,209325
Bretagne,F,40-44 ans,2023,0,106924
Occitanie,F,45-49 ans,2024,0,186761
Bretagne,F,50-54 ans,2023,0,115952
Bretagne,F,55-59 ans,2023,0,114678
Bretagne,F,60 ans ou plus,2023,0,579923
Bourgogne-Franche-Comté,F,20-24 ans,2023,0,69402
Nouvelle-Aquitaine,M,60 ans ou plus,2025,0,895959
Occitanie,F,45-49 ans,2023,0,189138
Bretagne,M,50-54 ans,2022,0,113178
Bretagne,F,60 ans ou plus,2022,0,572569
Bretagne,F,55-59 ans,2022,0,114499
Bretagne,F,50-54 ans,2022,0,114041
Bretagne,F,40-44 ans,2022,0,104997
Occitanie,F,55-59 ans,2025,0,208733
Occitanie,F,20-24 ans,2024,0,168591
Bretagne,F,20-24 ans,2022,0,88059
Bourgogne-Franche-Comté,M,60 ans ou plus,2025,0,397082
Pays de la Loire,F,40-44 ans,2025,0,126789
Pays de la Loire,M,60 ans ou plus,2023,0,485431
Bourgogne-Franche-Comté,F,50-54 ans,2022,0,94518
Bourgogne-Franche-Comté,F,55-59 ans,2022,0,95896
Bourgogne-Franche-Comté,F,60 ans ou plus,2022,0,474884
Bourgogne-Franche-Comté,M,20-24 ans,2022,0,77847
Pays de la Loire,F,20-24 ans,2025,0,107660
Bourgogne-Franche-Comté,M,35-39 ans,2022,0,80583
Bourgogne-Franche-Comté,M,40-44 ans,2022,0,82106
Pays de la Loire,M,60 ans ou plus,2024,0,494155
Pays de la Loire,M,50-54 ans,2024,0,130086
Provence-Alpes-Côte d'Azur,F,20-24 ans,2023,0,134201
Bourgogne-Franche-Comté,F,45-49 ans,2022,0,87123
Auvergne-Rhône-Alpes,F,20-24 ans,2022,0,228531
Île-de-France,F,60 ans ou plus,2025,0,1512916
Île-de-France,F,60 ans ou plus,2024,0,1492141
Île-de-France,F,60 ans ou plus,2023,0,1470656
Provence-Alpes-Côte d'Azur,M,60 ans ou plus,2025,0,724189
Auvergne-Rhône-Alpes,F,45-49 ans,2023,0,255141
Auvergne-Rhône-Alpes,F,50-54 ans,2023,0,273766
Auvergne-Rhône-Alpes,F,55-59 ans,2023,0,268450
Auvergne-Rhône-Alpes,F,60 ans ou plus,2023,0,1214097
Auvergne-Rhône-Alpes,M,55-59 ans,2023,0,262845
Bourgogne-Franche-Comté,M,55-59 ans,2022,0,93211
Corse,M,25-29 ans,2025,0,8383
Bretagne,M,60 ans ou plus,2023,0,461689
Occitanie,F,35-39 ans,2023,0,184797
Bretagne,M,50-54 ans,2024,0,117441
Occitanie,F,20-24 ans,2023,0,167446
Occitanie,M,50-54 ans,2022,0,197135
Bretagne,F,40-44 ans,2024,0,107394
Occitanie,F,60 ans ou plus,2022,0,1002662
Bretagne,F,50-54 ans,2024,0,117320
Bretagne,F,55-59 ans,2024,0,114677
Bourgogne-Franche-Comté,M,50-54 ans,2025,0,91657
Occitanie,F,20-24 ans,2022,0,165787
Normandie,F,60 ans ou plus,2023,0,550303
Occitanie,F,25-29 ans,2023,0,160825
Provence-Alpes-Côte d'Azur,M,20-24 ans,2022,0,139803
Provence-Alpes-Côte d'Azur,F,60 ans ou plus,2022,0,877683
Provence-Alpes-Côte d'Azur,F,20-24 ans,2022,0,133517
Pays de la Loire,M,60 ans ou plus,2025,0,503053
Pays de la Loire,M,55-59 ans,2025,0,121539
Auvergne-Rhône-Alpes,F,60 ans ou plus,2025,0,1248519
Pays de la Loire,F,60 ans ou plus,2025,0,622140
Pays de la Loire,F,50-54 ans,2025,0,129924
Bretagne,F,60 ans ou plus,2024,0,588778
Corse,M,60 ans ou plus,2023,0,51099
Normandie,M,55-59 ans,2025,0,105580
Centre-Val-de-Loire,F,30-34 ans,2024,0,70657
Centre-Val-de-Loire,F,40-44 ans,2023,0,78967
Centre-Val-de-Loire,F,45-49 ans,2023,0,79068
Centre-Val-de-Loire,F,50-54 ans,2023,0,88707
Centre-Val-de-Loire,F,60 ans ou plus,2023,0,429391
Nouvelle-Aquitaine,F,20-24 ans,2023,0,155061
Nouvelle-Aquitaine,M,20-24 ans,2022,0,164944
Nouvelle-Aquitaine,F,60 ans ou plus,2022,0,1071718
Nouvelle-Aquitaine,F,20-24 ans,2022,0,153766
Centre-Val-de-Loire,M,40-44 ans,2023,0,76140
Normandie,F,20-24 ans,2025,0,88416
Nouvelle-Aquitaine,F,55-59 ans,2023,0,213832
Normandie,M,45-49 ans,2025,0,94461
Centre-Val-de-Loire,F,20-24 ans,2024,0,63860
Nouvelle-Aquitaine,F,25-29 ans,2023,0,150273
Corse,M,25-29 ans,2023,0,8330
Corse,M,30-34 ans,2023,0,10458
Corse,M,35-39 ans,2023,0,10441
Corse,M,40-44 ans,2023,0,11541
Corse,M,45-49 ans,2023,0,11025
Corse,M,50-54 ans,2023,0,12404
Corse,M,55-59 ans,2023,0,11883
Centre-Val-de-Loire,F,60 ans ou plus,2022,0,426427
Nouvelle-Aquitaine,M,60 ans ou plus,2024,0,881629
Centre-Val-de-Loire,F,60 ans ou plus,2025,0,437459
Centre-Val-de-Loire,M,20-24 ans,2025,0,69952
Normandie,F,60 ans ou plus,2024,0,556982
Normandie,F,55-59 ans,2024,0,111213
Normandie,F,25-29 ans,2024,0,86507
Normandie,F,20-24 ans,2024,0,88333
Normandie,M,60 ans ou plus,2023,0,434121
Normandie,M,55-59 ans,2023,0,107234
Centre-Val-de-Loire,M,55-59 ans,2025,0,84268
Corse,F,30-34 ans,2022,0,10719
Normandie,M,60 ans ou plus,2025,0,446846
Corse,F,20-24 ans,2024,0,8201
Nouvelle-Aquitaine,F,60 ans ou plus,2024,0,1097037
Nouvelle-Aquitaine,F,45-49 ans,2024,0,187998
Nouvelle-Aquitaine,M,60 ans ou plus,2023,0,867301
Nouvelle-Aquitaine,M,55-59 ans,2023,0,201810
Nouvelle-Aquitaine,M,50-54 ans,2023,0,204474
Centre-Val-de-Loire,M,50-54 ans,2022,0,85959
Centre-Val-de-Loire,M,55-59 ans,2022,0,84364
Centre-Val-de-Loire,M,60 ans ou plus,2022,0,344445
Centre-Val-de-Loire,F,20-24 ans,2023,0,64035
Corse,F,60 ans ou plus,2023,0,59976
Corse,M,50-54 ans,2022,0,12318
Corse,F,40-44 ans,2022,0,11895
Corse,F,45-49 ans,2022,0,12028
Corse,F,50-54 ans,2022,0,12260
Corse,F,55-59 ans,2022,0,12194
Corse,F,60 ans ou plus,2022,0,59061
Corse,M,20-24 ans,2022,0,8131
Corse,M,25-29 ans,2022,0,8350
Corse,M,30-34 ans,2022,0,10433
Corse,M,35-39 ans,2022,0,10373
Corse,M,20-24 ans,2023,0,8181
Corse,M,25-29 ans,2024,0,8424
Corse,F,35-39 ans,2022,0,11588
Corse,M,55-59 ans,2022,0,11579
Corse,M,60 ans ou plus,2022,0,50349
Corse,F,20-24 ans,2023,0,8048
Corse,F,25-29 ans,2023,0,8828
Corse,F,30-34 ans,2023,0,10824
Corse,F,35-39 ans,2023,0,11488
Corse,F,40-44 ans,2023,0,12256
Corse,F,45-49 ans,2023,0,11710
Corse,F,50-54 ans,2023,0,12544
Corse,F,55-59 ans,2023,0,12267
Corse,M,30-34 ans,2024,0,10359
Corse,M,35-39 ans,2024,0,10623
Corse,F,25-29 ans,2024,0,8911
Corse,F,30-34 ans,2024,0,10652
Corse,F,35-39 ans,2024,0,11622
Corse,F,40-44 ans,2024,0,12438
Normandie,M,20-24 ans,2023,0,95268
Corse,F,50-54 ans,2024,0,12417
Corse,F,55-59 ans,2024,0,12391
Corse,F,60 ans ou plus,2024,0,61085
Corse,M,20-24 ans,2024,0,8212
Nouvelle-Aquitaine,F,60 ans ou plus,2023,0,1082578
Normandie,F,60 ans ou plus,2025,0,563376
Centre-Val-de-Loire,F,55-59 ans,2025,0,87508
Corse,M,40-44 ans,2024,0,11795
Corse,M,45-49 ans,2024,0,10880
Corse,M,50-54 ans,2024,0,12293
Corse,M,55-59 ans,2024,0,12085
Corse,M,60 ans ou plus,2024,0,52054
Corse,F,20-24 ans,2025,0,8457
Corse,F,45-49 ans,2024,0,11649
Corse,F,20-24 ans,2022,0,7707
Corse,F,25-29 ans,2022,0,9075
Hauts-de-France,F,20-24 ans,2024,0,180798
Hauts-de-France,F,60 ans ou plus,2023,0,860783
Hauts-de-France,F,55-59 ans,2023,0,192990
Hauts-de-France,F,60 ans ou plus,2022,0,853289
Hauts-de-France,F,55-59 ans,2022,0,194380
Hauts-de-France,F,45-49 ans,2022,0,192319
Grand Est,F,20-24 ans,2023,0,153559
Hauts-de-France,F,20-24 ans,2022,0,180743
Grand Est,M,60 ans ou plus,2025,0,722908
Grand Est,F,40-44 ans,2023,0,176650
DROM,F,35-39 ans,2024,0,151154
Grand Est,M,60 ans ou plus,2024,0,711298
Grand Est,F,55-59 ans,2023,0,192436
Grand Est,F,60 ans ou plus,2023,0,864234
Grand Est,M,45-49 ans,2023,0,169185
Grand Est,M,60 ans ou plus,2023,0,700403
Grand Est,F,60 ans ou plus,2025,0,885198
Grand Est,F,45-49 ans,2025,0,164660
Grand Est,F,40-44 ans,2024,0,177761
Grand Est,F,45-49 ans,2024,0,165728
Grand Est,F,55-59 ans,2024,0,189493
Grand Est,F,60 ans ou plus,2024,0,874904
Grand Est,F,20-24 ans,2025,0,152953
Grand Est,F,50-54 ans,2023,0,188776
Grand Est,F,45-49 ans,2023,0,170113
Corse,M,30-34 ans,2025,0,10101
Corse,M,35-39 ans,2025,0,10998
Corse,M,40-44 ans,2025,0,11769
Corse,M,45-49 ans,2025,0,11149
Normandie,F,25-29 ans,2023,0,85151
Corse,M,55-59 ans,2025,0,12077
Corse,M,60 ans ou plus,2025,0,53186
DROM,F,20-24 ans,2022,0,129020
DROM,F,25-29 ans,2022,0,130808
Bourgogne-Franche-Comté,F,20-24 ans,2022,0,69439
DROM,F,35-39 ans,2022,0,148982
Hauts-de-France,M,55-59 ans,2025,0,183544
Normandie,F,55-59 ans,2023,0,112449
DROM,F,50-54 ans,2022,0,155260
DROM,F,55-59 ans,2022,0,155626
DROM,F,60 ans ou plus,2022,0,485938
DROM,M,20-24 ans,2022,0,122014
DROM,M,25-29 ans,2022,0,104454
Corse,M,50-54 ans,2025,0,12118
Hauts-de-France,F,50-54 ans,2024,0,197643
Hauts-de-France,F,45-49 ans,2024,0,183072
DROM,F,30-34 ans,2022,0,146064
Grand Est,F,20-24 ans,2022,0,153260
Hauts-de-France,M,60 ans ou plus,2024,0,678088
Hauts-de-France,F,60 ans ou plus,2024,0,871036
Grand Est,F,50-54 ans,2022,0,187809
Hauts-de-France,F,55-59 ans,2024,0,190767
DROM,F,50-54 ans,2025,0,150554
Centre-Val-de-Loire,F,45-49 ans,2024,0,76632
Centre-Val-de-Loire,F,50-54 ans,2024,0,88728
Centre-Val-de-Loire,F,55-59 ans,2024,0,87682
Centre-Val-de-Loire,F,60 ans ou plus,2024,0,433381
Normandie,M,20-24 ans,2025,0,95762
DROM,F,35-39 ans,2025,0,152540
Normandie,F,45-49 ans,2025,0,96361
Normandie,F,40-44 ans,2025,0,104630
Normandie,F,35-39 ans,2025,0,101139
